Date,Open,High,Low,Close,Shares_Traded,Turnover_Rs_Cr
7/23/2019,11372.25,11398.15,11302.8,11331.05,458931191,19199.32
7/24/2019,11322.45,11359.75,11229.8,11271.3,413202832,18353.13
7/25/2019,11290.4,11361.4,11239.35,11252.15,553676897,24329.21
7/26/2019,11247.45,11307.6,11210.05,11284.3,522670420,20350.38
7/29/2019,11307.5,11310.95,11152.4,11189.2,482862376,18705.92
7/30/2019,11213.7,11267.45,11072.65,11085.4,479059399,20545.71
7/31/2019,11034.05,11145.3,10999.4,11118,536694278,23681.22
08-01-2019,11060.2,11076.75,10881,10980,499918953,21048.32
08-02-2019,10930.3,11080.15,10848.95,10997.35,547416246,23972.04
08-05-2019,10895.8,10895.8,10782.6,10862.6,506556609,20824.1
08-06-2019,10815.4,11018.55,10813.8,10948.25,517891491,21676.4
08-07-2019,10958.1,10975.65,10835.9,10855.5,548465787,21228.28
08-08-2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
08-09-2019,11087.9,11181.45,11062.8,11109.65,538063563,21092.05
8/13/2019,11139.4,11145.9,10901.6,10925.85,624634647,24790.67
8/14/2019,11003.25,11078.15,10935.6,11029.4,511541716,19712.81
8/16/2019,11043.65,11068.65,10924.3,11047.8,470909918,19281.91
8/19/2019,11094.8,11146.9,11037.85,11053.9,369493161,14120.35
8/20/2019,11063.9,11076.3,10985.3,11017,444715679,16915.96
8/21/2019,11018.15,11034.2,10906.65,10918.7,557867906,16747.99
8/22/2019,10905.3,10908.25,10718.3,10741.35,668193449,18764.38
8/23/2019,10699.6,10862.55,10637.15,10829.35,667079625,20983.75
8/26/2019,11000.3,11070.3,10756.55,11057.85,684141923,22375.99
8/27/2019,11106.55,11141.75,11049.5,11105.35,685551267,27413.16
8/28/2019,11101.3,11129.65,10987.65,11046.1,549954696,16739.43
8/29/2019,10996.05,11021.1,10922.4,10948.3,649876160,20127.77
8/30/2019,10987.8,11042.6,10874.8,11023.25,628154431,21057.31
09-03-2019,10960.95,10967.5,10772.7,10797.9,483038985,16595.6
09-04-2019,10790.4,10858.75,10746.35,10844.65,508784352,19195.1
09-05-2019,10860.95,10920.1,10816,10847.9,595699267,18279.88
